"function","source_id","name","url","source_kind","status","pii_risk","public_api_signal","interoperability_candidate","recommended_join_key","public_note"
"refugios","github-nochinxx-venezuela-earthquake-map","💻 Tech / Dev venezuela-earthquake-map (GitHub) https://github.com/nochinxx/venezuela-earthquake-map Heatmap en tiempo real. Agrega reportes de YouTube, X/Twitter e Instagram cada 10 min. Centros de acopio verificados. Directorio 30+ hospitales. Licencia MIT. ✅ Activa ES/EN GitHub","https://github.com/nochinxx/venezuela-earthquake-map","attachment_catalog","tech_dev_venezuela_earthquake_map_github_https_github_com_nochinxx_venezuela_earthquake_map_heatmap_en_tiempo_real_agrega_reportes_de_youtube_x_twitter_e_instagram_cada_10_min_centros_de_acopio_verificados_directorio_30_hospitales_licencia_mit_activa_es_en_github","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"salud","github-nochinxx-venezuela-earthquake-map","💻 Tech / Dev venezuela-earthquake-map (GitHub) https://github.com/nochinxx/venezuela-earthquake-map Heatmap en tiempo real. Agrega reportes de YouTube, X/Twitter e Instagram cada 10 min. Centros de acopio verificados. Directorio 30+ hospitales. Licencia MIT. ✅ Activa ES/EN GitHub","https://github.com/nochinxx/venezuela-earthquake-map","attachment_catalog","tech_dev_venezuela_earthquake_map_github_https_github_com_nochinxx_venezuela_earthquake_map_heatmap_en_tiempo_real_agrega_reportes_de_youtube_x_twitter_e_instagram_cada_10_min_centros_de_acopio_verificados_directorio_30_hospitales_licencia_mit_activa_es_en_github","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"danos","github-nochinxx-venezuela-earthquake-map","💻 Tech / Dev venezuela-earthquake-map (GitHub) https://github.com/nochinxx/venezuela-earthquake-map Heatmap en tiempo real. Agrega reportes de YouTube, X/Twitter e Instagram cada 10 min. Centros de acopio verificados. Directorio 30+ hospitales. Licencia MIT. ✅ Activa ES/EN GitHub","https://github.com/nochinxx/venezuela-earthquake-map","attachment_catalog","tech_dev_venezuela_earthquake_map_github_https_github_com_nochinxx_venezuela_earthquake_map_heatmap_en_tiempo_real_agrega_reportes_de_youtube_x_twitter_e_instagram_cada_10_min_centros_de_acopio_verificados_directorio_30_hospitales_licencia_mit_activa_es_en_github","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"informacion_verificada","github-nochinxx-venezuela-earthquake-map","💻 Tech / Dev venezuela-earthquake-map (GitHub) https://github.com/nochinxx/venezuela-earthquake-map Heatmap en tiempo real. Agrega reportes de YouTube, X/Twitter e Instagram cada 10 min. Centros de acopio verificados. Directorio 30+ hospitales. Licencia MIT. ✅ Activa ES/EN GitHub","https://github.com/nochinxx/venezuela-earthquake-map","attachment_catalog","tech_dev_venezuela_earthquake_map_github_https_github_com_nochinxx_venezuela_earthquake_map_heatmap_en_tiempo_real_agrega_reportes_de_youtube_x_twitter_e_instagram_cada_10_min_centros_de_acopio_verificados_directorio_30_hospitales_licencia_mit_activa_es_en_github","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"entregas_logistica","github-nochinxx-venezuela-earthquake-map","💻 Tech / Dev venezuela-earthquake-map (GitHub) https://github.com/nochinxx/venezuela-earthquake-map Heatmap en tiempo real. Agrega reportes de YouTube, X/Twitter e Instagram cada 10 min. Centros de acopio verificados. Directorio 30+ hospitales. Licencia MIT. ✅ Activa ES/EN GitHub","https://github.com/nochinxx/venezuela-earthquake-map","attachment_catalog","tech_dev_venezuela_earthquake_map_github_https_github_com_nochinxx_venezuela_earthquake_map_heatmap_en_tiempo_real_agrega_reportes_de_youtube_x_twitter_e_instagram_cada_10_min_centros_de_acopio_verificados_directorio_30_hospitales_licencia_mit_activa_es_en_github","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"datos_api","github-nochinxx-venezuela-earthquake-map","💻 Tech / Dev venezuela-earthquake-map (GitHub) https://github.com/nochinxx/venezuela-earthquake-map Heatmap en tiempo real. Agrega reportes de YouTube, X/Twitter e Instagram cada 10 min. Centros de acopio verificados. Directorio 30+ hospitales. Licencia MIT. ✅ Activa ES/EN GitHub","https://github.com/nochinxx/venezuela-earthquake-map","attachment_catalog","tech_dev_venezuela_earthquake_map_github_https_github_com_nochinxx_venezuela_earthquake_map_heatmap_en_tiempo_real_agrega_reportes_de_youtube_x_twitter_e_instagram_cada_10_min_centros_de_acopio_verificados_directorio_30_hospitales_licencia_mit_activa_es_en_github","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"refugios","github-rainvare-terrave","TerraVE","https://terra-ve.vercel.app/","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"salud","github-rainvare-terrave","TerraVE","https://terra-ve.vercel.app/","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"danos","github-rainvare-terrave","TerraVE","https://terra-ve.vercel.app/","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"informacion_verificada","github-rainvare-terrave","TerraVE","https://terra-ve.vercel.app/","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"entregas_logistica","github-rainvare-terrave","TerraVE","https://terra-ve.vercel.app/","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"datos_api","github-rainvare-terrave","TerraVE","https://terra-ve.vercel.app/","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"acopio","github-raulandreroman-venemed","Venemed","https://venemed.vercel.app/","build4venezuela_analysis","in_development","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"donaciones","github-raulandreroman-venemed","Venemed","https://venemed.vercel.app/","build4venezuela_analysis","in_development","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"necesidades","github-raulandreroman-venemed","Venemed","https://venemed.vercel.app/","build4venezuela_analysis","in_development","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"refugios","github-raulandreroman-venemed","Venemed","https://venemed.vercel.app/","build4venezuela_analysis","in_development","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"salud","github-raulandreroman-venemed","Venemed","https://venemed.vercel.app/","build4venezuela_analysis","in_development","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"conectividad","github-raulandreroman-venemed","Venemed","https://venemed.vercel.app/","build4venezuela_analysis","in_development","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"informacion_verificada","github-raulandreroman-venemed","Venemed","https://venemed.vercel.app/","build4venezuela_analysis","in_development","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"entregas_logistica","github-raulandreroman-venemed","Venemed","https://venemed.vercel.app/","build4venezuela_analysis","in_development","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"datos_api","github-raulandreroman-venemed","Venemed","https://venemed.vercel.app/","build4venezuela_analysis","in_development","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"refugios","github-ruvnet-ruview","Ruview","https://github.com/ruvnet/ruview","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"salud","github-ruvnet-ruview","Ruview","https://github.com/ruvnet/ruview","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"conectividad","github-ruvnet-ruview","Ruview","https://github.com/ruvnet/ruview","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"informacion_verificada","github-ruvnet-ruview","Ruview","https://github.com/ruvnet/ruview","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"datos_api","github-ruvnet-ruview","Ruview","https://github.com/ruvnet/ruview","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"acopio","github-valentinfuentesg-punto-de-apoyo","Punto de Apoyo Venezuela","https://www.puntodeapoyovenezuela.com/","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"refugios","github-valentinfuentesg-punto-de-apoyo","Punto de Apoyo Venezuela","https://www.puntodeapoyovenezuela.com/","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"salud","github-valentinfuentesg-punto-de-apoyo","Punto de Apoyo Venezuela","https://www.puntodeapoyovenezuela.com/","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"conectividad","github-valentinfuentesg-punto-de-apoyo","Punto de Apoyo Venezuela","https://www.puntodeapoyovenezuela.com/","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"informacion_verificada","github-valentinfuentesg-punto-de-apoyo","Punto de Apoyo Venezuela","https://www.puntodeapoyovenezuela.com/","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"entregas_logistica","github-valentinfuentesg-punto-de-apoyo","Punto de Apoyo Venezuela","https://www.puntodeapoyovenezuela.com/","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"datos_api","github-valentinfuentesg-punto-de-apoyo","Punto de Apoyo Venezuela","https://www.puntodeapoyovenezuela.com/","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"refugios","hospitalesenvenezuela-com","Hospitales en Venezuela","https://hospitalesenvenezuela.com","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"salud","hospitalesenvenezuela-com","Hospitales en Venezuela","https://hospitalesenvenezuela.com","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"refugios","infosaludsismovzla2026-com","Info Salud Sismo VZLA","https://infosaludsismovzla2026.com","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"salud","infosaludsismovzla2026-com","Info Salud Sismo VZLA","https://infosaludsismovzla2026.com","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"danos","infosaludsismovzla2026-com","Info Salud Sismo VZLA","https://infosaludsismovzla2026.com","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"informacion_verificada","infosaludsismovzla2026-com","Info Salud Sismo VZLA","https://infosaludsismovzla2026.com","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"refugios","pacientesterremotovzla-lovable-app","Pacientes Terremoto VZLA","https://pacientesterremotovzla.lovable.app","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"salud","pacientesterremotovzla-lovable-app","Pacientes Terremoto VZLA","https://pacientesterremotovzla.lovable.app","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"danos","pacientesterremotovzla-lovable-app","Pacientes Terremoto VZLA","https://pacientesterremotovzla.lovable.app","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"donaciones","recursos-venezuela-netlify-app","📋 Recursos verificados Ayuda Terremoto Venezuela https://recursos-venezuela.netlify.app Agregador verificado: plataformas de búsqueda, instrucciones de supervivencia, canales de donación. Links a GlobalGiving, UNICEF y Cruz Roja. ✅ Activa ES Netlify / ciudadanos","https://recursos-venezuela.netlify.app","attachment_catalog","recursos_verificados_ayuda_terremoto_venezuela_https_recursos_venezuela_netlify_app_agregador_verificado_plataformas_de_busqueda_instrucciones_de_supervivencia_canales_de_donacion_links_a_globalgiving_unicef_y_cruz_roja_activa_es_netlify_ciudadanos","medium","False","no","topic + geography + time","Requiere validacion antes de integracion."
"danos","recursos-venezuela-netlify-app","📋 Recursos verificados Ayuda Terremoto Venezuela https://recursos-venezuela.netlify.app Agregador verificado: plataformas de búsqueda, instrucciones de supervivencia, canales de donación. Links a GlobalGiving, UNICEF y Cruz Roja. ✅ Activa ES Netlify / ciudadanos","https://recursos-venezuela.netlify.app","attachment_catalog","recursos_verificados_ayuda_terremoto_venezuela_https_recursos_venezuela_netlify_app_agregador_verificado_plataformas_de_busqueda_instrucciones_de_supervivencia_canales_de_donacion_links_a_globalgiving_unicef_y_cruz_roja_activa_es_netlify_ciudadanos","medium","False","no","topic + geography + time","Requiere validacion antes de integracion."
"informacion_verificada","recursos-venezuela-netlify-app","📋 Recursos verificados Ayuda Terremoto Venezuela https://recursos-venezuela.netlify.app Agregador verificado: plataformas de búsqueda, instrucciones de supervivencia, canales de donación. Links a GlobalGiving, UNICEF y Cruz Roja. ✅ Activa ES Netlify / ciudadanos","https://recursos-venezuela.netlify.app","attachment_catalog","recursos_verificados_ayuda_terremoto_venezuela_https_recursos_venezuela_netlify_app_agregador_verificado_plataformas_de_busqueda_instrucciones_de_supervivencia_canales_de_donacion_links_a_globalgiving_unicef_y_cruz_roja_activa_es_netlify_ciudadanos","medium","False","no","topic + geography + time","Requiere validacion antes de integracion."
"entregas_logistica","recursos-venezuela-netlify-app","📋 Recursos verificados Ayuda Terremoto Venezuela https://recursos-venezuela.netlify.app Agregador verificado: plataformas de búsqueda, instrucciones de supervivencia, canales de donación. Links a GlobalGiving, UNICEF y Cruz Roja. ✅ Activa ES Netlify / ciudadanos","https://recursos-venezuela.netlify.app","attachment_catalog","recursos_verificados_ayuda_terremoto_venezuela_https_recursos_venezuela_netlify_app_agregador_verificado_plataformas_de_busqueda_instrucciones_de_supervivencia_canales_de_donacion_links_a_globalgiving_unicef_y_cruz_roja_activa_es_netlify_ciudadanos","medium","False","no","topic + geography + time","Requiere validacion antes de integracion."
"necesidades","redh-avapre-com","Avapre Venezuela","https://redh.avapre.com/","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"refugios","redh-avapre-com","Avapre Venezuela","https://redh.avapre.com/","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"salud","redh-avapre-com","Avapre Venezuela","https://redh.avapre.com/","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"entregas_logistica","redh-avapre-com","Avapre Venezuela","https://redh.avapre.com/","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"datos_api","redh-avapre-com","Avapre Venezuela","https://redh.avapre.com/","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"refugios","refugiosvenezuela-com","Refugios Venezuela (NUEVO)","https://refugiosvenezuela.com","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"salud","refugiosvenezuela-com","Refugios Venezuela (NUEVO)","https://refugiosvenezuela.com","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"danos","reportavenezuela-org","Reporta Venezuela (org) (NUEVO)","https://reportavenezuela.org","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
